key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,note,edition,page,source,sourceID,provenance,extent
239,Helfrich Peter Sturz,118619756,Oldenburg,http://www.geonames.org/2857458,1776-03-12,Friedrich Gottlieb Klopstock,118563386,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
240,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-04-01,Hauptkirche St. Katharinen,7572956-8,Hamburg,http://www.geonames.org/2911298,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
241,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-04-02,Hauptkirche St. Katharinen,7572956-8,Hamburg,http://www.geonames.org/2911298,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
242,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-04-02,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
243,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-04-12,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
244,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-04-27,Johann Nikolaus Forkel,118809962,Göttingen,http://www.geonames.org/2918632,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
245,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-05-02,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
246,Heinrich Wilhelm von Gerstenberg,118690949,Lübeck,http://www.geonames.org/2875601,1776-05-08,Friedrich Gottlieb Klopstock,118563386,Hamburg,http://www.geonames.org/2911298,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
247,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-05-14,Johann Nikolaus Forkel,118809962,Göttingen,http://www.geonames.org/2918632,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
248,Johann Wilhelm Ludwig Gleim,118717758,Halberstadt,http://www.geonames.org/2911665,1776-06-02,Johann Heinrich Voß,118627910,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
249,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-06-18,Hauptkirche St. Katharinen,7572956-8,Hamburg,http://www.geonames.org/2911298,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
250,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-06-18,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
251,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-06-22,Hauptkirche St. Katharinen,7572956-8,Hamburg,http://www.geonames.org/2911298,,Rechnung,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
252,Matthias Claudius,118521098,Darmstadt,http://www.geonames.org/2938913,1776-06-23,Johann Martin Miller,118784013,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
253,Matthias Claudius,118521098,Darmstadt,http://www.geonames.org/2938913,1776-07-12,Johann Heinrich Voß,118627910,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
254,Carl Philipp Emanuel Bach,118505505,Hamburg,http://www.geonames.org/2911298,1776-07-19,Johann Gottlob Immanuel Breitkopf,118809873,Leipzig,http://www.geonames.org/2879139,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
